Month	Day	Hour	wtr	CO2dep	O2dep
7	1	0	19.984	34.60493288	-52.64256383
7	1	2	19.413	34.68285619	-54.92787982
7	1	4	18.937	35.7600044	-63.47798338
7	1	6	18.771	36.25436375	-60.89269142
7	1	8	19.27	34.53710816	-41.76432273
7	1	10	20.317	36.3844518	-36.28907926
7	1	12	22.345	33.41729292	-20.02854124
7	1	14	22.226	30.64373874	-16.36347618
7	1	16	22.011	33.03967911	-9.499825203
7	1	18	21.509	35.18317688	-17.25761818
7	1	20	21.867	29.61498799	-18.48247344
7	1	22	21.461	29.57172892	-30.33847038
7	2	0	20.722	31.85071127	-37.48211467
7	2	2	20.293	34.03264239	-38.4919019
7	2	4	19.77	30.23331286	-38.0871667
7	2	6	19.127	29.78168758	-43.17229719
7	2	8	18.652	30.04000986	-34.43635189
7	2	10	18.509	28.3200645	-46.29778559
7	2	12	18.295	28.79770557	-33.44601138
7	2	14	18.129	29.27834053	-60.24102344
7	2	16	17.843	33.00035553	-58.41093288
7	2	18	18.509	29.28711624	-42.90240097
7	2	20	18.247	31.64208546	-44.41463277
7	2	22	17.938	32.70026058	-43.68655709
7	3	0	17.582	37.58791008	-42.69628899
7	3	2	17.344	38.8697907	-40.05263961
7	3	4	17.153	41.79995053	-50.78693432
7	3	6	17.106	43.96212933	-57.94843912
7	3	8	17.034	55.57005725	-41.7535385
7	3	10	17.058	62.53479229	-38.810476
7	3	12	17.296	68.38954301	-38.25316512
7	3	14	17.272	56.47009354	-54.00555972
7	3	16	17.51	61.0247476	-37.82448974
7	3	18	17.51	64.02282137	-48.341251
7	3	20	17.391	62.11965838	-55.85318243
7	3	22	17.13	65.19052175	-45.07867546
7	4	0	16.796	66.44655865	-49.30968604
7	4	2	16.463	67.93968447	-53.32915392
7	4	4	16.129	70.98110168	-55.6131395
7	4	6	16.201	71.48724391	-63.78877361
7	4	8	16.439	71.85939497	-55.40079729
7	4	10	16.392	69.39249486	-60.65469022
7	4	12	16.344	72.05568124	-64.09277691
7	4	14	16.511	69.54712772	-47.02323967
7	4	16	16.296	73.04048543	-58.48693792
7	4	18	16.534	71.50517883	-60.2758212
7	4	20	16.415	72.69023232	-63.79135273
7	4	22	16.32	72.09636207	-58.26798074
7	5	0	16.034	75.83678639	-62.76523526
7	5	2	15.963	75.21950138	-65.27412819
7	5	4	15.891	80.73882225	-54.52958281
7	5	6	15.796	81.27008912	-42.79811045
7	5	8	15.915	80.61710302	-64.69266812
7	5	10	16.106	76.24862982	-59.57044225
7	5	12	16.892	74.97038589	-58.2215712
7	5	14	17.249	75.68952921	-58.04192775
7	5	16	17.653	73.32977099	-53.45350666
7	5	18	17.51	73.49775177	-31.03750969
7	5	20	17.415	73.30292809	-37.17123967
7	5	22	17.058	76.09747267	-29.28985231
7	6	0	16.582	76.84717688	-32.70631737
7	6	2	16.392	75.5057244	-31.38288605
7	6	4	16.058	76.60068646	-34.29363978
7	6	6	15.629	80.95408558	-37.33613789
7	6	8	15.7	79.27728691	-35.69970167
7	6	10	15.891	86.92025561	-37.51032346
7	6	12	16.225	88.24004308	-38.91145403
7	6	14	16.606	91.54620752	-34.6654597
7	6	16	17.034	88.02986149	-32.039458
7	6	18	17.201	87.24994556	-29.8581928
7	6	20	17.201	86.32576145	-32.00703744
